iter	RMSE
0	213839.534
1	210464.5556
2	205740.8025
3	201365.0399
4	197276.2772
5	193445.9389
6	189956.3715
7	186510.3304
8	183305.9876
9	180325.0331
10	177614.3743
11	175150.8673
12	172860.9529
13	170694.6409
14	168701.3819
15	166808.5431
16	165024.2817
17	163452.1262
18	161874.6792
19	160398.0983
20	159102.2245
21	157876.1841
22	156711.3826
23	155664.096
24	154638.7756
25	153658.9685
26	152739.9125
27	151823.1908
28	150996.3926
29	150249.2125
30	149613.7099
31	148988.3043
32	148361.8467
33	147760.1422
34	147170.4432
35	146679.3773
36	146093.0241
37	145618.4462
38	145138.0702
39	144695.8089
40	144328.862
41	143977.7524
42	143639.3965
43	143306.4726
44	143013.284
45	142662.5081
46	142360.0836
47	141994.5424
48	141713.566
49	141406.5047
50	141103.0629
51	140837.0838
52	140582.1324
53	140329.3391
54	140079.4019
55	139819.301
56	139633.2496
57	139423.1911
58	139218.0239
59	139035.224
60	138800.085
61	138654.3503
62	138440.0479
63	138289.1203
64	138123.9236
65	137957.6266
66	137831.2618
67	137679.1534
68	137452.8935
69	137307.1392
70	137158.9186
71	137031.4552
72	136873.8425
73	136764.7289
74	136569.9229
75	136412.5819
76	136289.7926
77	136120.5513
78	135993.1406
79	135866.2343
80	135703.4505
81	135576.3085
82	135472.0001
83	135373.5027
84	135221.5723
85	135107.245
86	134996.2045
87	134877.3569
88	134782.5272
89	134675.1256
90	134576.3151
91	134468.0507
92	134331.1137
93	134211.3653
94	134095.924
95	134002.1228
96	133914.5435
97	133838.5874
98	133739.2615
99	133669.2413
