iter	Passed	Remaining
0	44	4429
1	85	4212
2	132	4279
3	169	4076
4	210	3992
5	246	3863
6	284	3777
7	319	3672
8	356	3601
9	391	3521
10	427	3462
11	462	3393
12	498	3333
13	533	3280
14	568	3224
15	605	3176
16	643	3140
17	678	3089
18	714	3043
19	748	2995
20	783	2948
21	822	2917
22	859	2875
23	894	2833
24	930	2790
25	980	2789
26	1023	2767
27	1067	2743
28	1107	2712
29	1144	2669
30	1180	2626
31	1216	2584
32	1251	2541
33	1293	2511
34	1333	2476
35	1368	2433
36	1406	2395
37	1442	2353
38	1477	2310
39	1513	2270
40	1548	2228
41	1587	2192
42	1624	2153
43	1671	2127
44	1717	2099
45	1755	2061
46	1791	2020
47	1828	1981
48	1865	1941
49	1901	1901
50	1936	1861
51	1971	1820
52	2008	1780
53	2043	1740
54	2078	1700
55	2113	1660
56	2149	1621
57	2184	1581
58	2220	1542
59	2257	1504
60	2296	1468
61	2333	1430
62	2368	1391
63	2404	1352
64	2439	1313
65	2474	1274
66	2509	1236
67	2544	1197
68	2581	1159
69	2616	1121
70	2651	1082
71	2686	1044
72	2722	1006
73	2757	968
74	2794	931
75	2830	893
76	2866	856
77	2904	819
78	2940	781
79	2974	743
80	3010	706
81	3046	668
82	3081	631
83	3117	593
84	3152	556
85	3188	518
86	3223	481
87	3261	444
88	3300	407
89	3336	370
90	3371	333
91	3406	296
92	3442	259
93	3477	221
94	3513	184
95	3548	147
96	3584	110
97	3619	73
98	3655	36
99	3689	0
